concept,prerequisites,context
2d tree,"binary tree, linked list, range search, search problem",data structure and algorithm
a star,"breadth first search, brute force approach, depth first search, quadratic time algorithm, search algorithm, shortest path, shortest path algorithm",data structure and algorithm
inverse ackermann function,"ackermann function, compression optimization, connected component, mst algorithm, mst problem",data structure and algorithm
ackermann function,"mst algorithm, mst problem",data structure and algorithm
adjacency lists,"acyclic graph, graph algorithms, undirected graph",data structure and algorithm
breadth first search,"acyclic graph, big-o notation, directed acyclic graph, directed edge, directed graph, edge weight, generic graph search, graph algorithms, graph search, search algorithm, undirected graph",data structure and algorithm
connected component,"acyclic graph, connected graph, directed acyclic graph, directed edge, directed graph",data structure and algorithm
connected graph,"acyclic graph, edge weight, undirected graph",data structure and algorithm
depth first search,"acyclic graph, big-o notation, directed acyclic graph, directed edge, directed graph, edge weight, generic graph search, graph algorithms, graph search, search algorithm, undirected graph",data structure and algorithm
directed acyclic graph,"acyclic graph, directed edge, directed graph",data structure and algorithm
graph algorithms,"acyclic graph, directed acyclic graph, directed graph, graph search, mst problem, shortest path problem, spanning tree problem",data structure and algorithm
graph search,"acyclic graph, search algorithm, undirected graph",data structure and algorithm
adjacency matrix,"adjacency lists, graph algorithms, undirected graph",data structure and algorithm
approximate pattern matching,"exact pattern matching, pattern matching, string algorithms",data structure and algorithm
approximation algorithm,"search problem, traveling salesman problem",data structure and algorithm
big-o notation,"asymptotic analysis, asymptotic notation",data structure and algorithm
asymptotic analysis,"linear time algorithm, quadratic time algorithm",data structure and algorithm
o notation,"asymptotic analysis, asymptotic notation",data structure and algorithm
big omega,"asymptotic notation, o notation",data structure and algorithm
asymptotic notation,brute force approach,data structure and algorithm
theta notation,asymptotic notation,data structure and algorithm
avl trees,"balanced binary search, balanced search, balanced search tree, binary search, binary search tree, binary tree, linked list, search problem, search tree",data structure and algorithm
red black tree,"avl trees, balance trees, balanced binary search, balanced search, balanced search tree, binary tree, linked list",data structure and algorithm
splay trees,"avl trees, balanced binary search, balanced search, balanced search tree, binary tree, linked list",data structure and algorithm
bidirectional search,"backwards search, directed graph, directional search, shortest path, shortest path algorithm",data structure and algorithm
balance trees,binary search tree,data structure and algorithm
balanced binary search,"balanced search, balanced search tree, binary search, binary search tree, binary tree, linked list, search tree, search tree problem, sort algorithm",data structure and algorithm
balanced search tree,"balanced search, binary search tree, binary tree, linked list, search tree, search tree problem",data structure and algorithm
balanced search,search tree problem,data structure and algorithm
bellman-ford algorithm,"breadth first search, directed edge, directed graph, edge weight, graph search, search algorithm, shortest path, shortest path algorithm, undirected graph",data structure and algorithm
bidirectional dijkstra algorithm,"bidirectional search, dijkstra algorithm, directional search, shortest path",data structure and algorithm
binary search,"big-o notation, comparison based sort, search algorithm",data structure and algorithm
brute force approach,big-o notation,data structure and algorithm
heap sort,"big-o notation, binary max heap, binary tree, comparison based algorithm, comparison based sort, priority queue, sort algorithm",data structure and algorithm
knockout tournament,"big-o notation, randomized selection algorithm, selection problem",data structure and algorithm
kruskal algorithm,"big-o notation, connected component, minimum spanning tree, spanning tree",data structure and algorithm
linear time algorithm,big-o notation,data structure and algorithm
merge sort,"big-o notation, comparison based algorithm, comparison based sort, deterministic algorithm, increasing order, priority queue",data structure and algorithm
